S,xi1,xi2
102.86275245400145,0.04098078601185952,0.004888780886402675
103.07151221972066,0.04300760706358029,0.00526383003988891
103.23784176107492,0.039362715650107814,0.00013546541248684457
103.51186411903926,0.04296174872178853,0.0034993243493857944
104.72920829255546,0.04050534787547352,0.0015846814947319769
104.71028071221532,0.04214012186635462,0.006317452900993119
104.0060500718017,0.04583201503487579,0.012092018806869668
104.02641985118329,0.04626519557555868,0.011063958284973129
103.65773890607807,0.04970000268453828,0.012953311192155655
103.97720625604283,0.047690324912346295,0.010382228938767946
104.09797489359954,0.05109103862990432,0.012842474438587005
104.302554881538,0.045947311135146544,0.005892791681687464
103.98226916572423,0.048632766085999875,0.010308455471723014
104.22164142740276,0.050239353568810714,0.014430315171205991
103.9213286150438,0.05139480957876145,0.01413927645267736
104.22692450874031,0.05249990707496691,0.015054698666344207
104.04655868254254,0.045979853139199035,0.008367295202328977
103.41327437279075,0.04489400248938683,0.009544390949927302
103.69185895930943,0.04984425492055312,0.015671934852607157
103.27987264553016,0.04740832280352337,0.014734269713451455
104.1030152235855,0.051304603218799996,0.01567601332794445
104.3645576208211,0.05864477143259657,0.022587976447057283
104.65550531582645,0.055983594059140676,0.01644761885917722
104.71738280880797,0.05333851969857819,0.013848427485967669
104.68106836821732,0.04843170503822425,0.00818936941316848
103.2974024062699,0.047763001178604735,0.00630587701033626
103.99124729967367,0.04141721214599402,-0.0014345222964598685
103.55499157891046,0.03535464330310864,-0.009171611388460978
104.0345807817034,0.02985013956753095,-0.014071169287205462
103.73028349332965,0.03364180107596881,-0.01104430150000692
103.65952932341892,0.033561781124913294,-0.011396689171694344
103.54899229832706,0.035195663797004506,-0.008995486995606554
103.02835888492632,0.03577851683436003,-0.008579349874609874
102.94205566081745,0.03650213411628374,-0.008725652754984008
103.18199063838759,0.03651873541546542,-0.010104857800211827
102.97320289246773,0.040758525557386655,-0.005038284466061838
102.30955319538782,0.0351498381882255,-0.009713012020075995
102.02565388712472,0.034798497323660506,-0.010148419764524715
102.14840698971868,0.03190988166760513,-0.012388026787157625
102.6972892548092,0.02912205878154273,-0.013356949356140154
103.08921228364854,0.028687343769273142,-0.0131903983541129
103.22395220150236,0.036999425828429536,-0.006431687484123669
102.71658934857815,0.03642259101946325,-0.008939589885597343
103.1722050449073,0.039135186888406254,-0.00621643586753249
103.18455044638777,0.03676842988865815,-0.005262932472913352
103.06209229095158,0.03957975365443064,-0.002875043248303047
103.53751631893458,0.03409967312522306,-0.008928088090248693
103.8443898113628,0.0296120407698732,-0.013379588449295585
104.08191441193357,0.02762285546884454,-0.014870616844032705
103.54390552668642,0.026880151926031996,-0.014326941491104259
103.26136539468496,0.02786111568905434,-0.012261173542680933
102.46471541666604,0.02578338098328557,-0.014235029579821024
102.55302575581037,0.020355359794609028,-0.01755774774360452
102.56521822988014,0.023626815375854315,-0.01585977424398399
102.98012201702625,0.027926677783069124,-0.011959183176151808
103.07906785507221,0.02596138294327188,-0.013117439404889571
102.9102751456836,0.026205547735176464,-0.013633149653279887
103.8780460385628,0.024177544834976174,-0.014380966292670126
103.41088508374874,0.02593513400213229,-0.010982036134195523
102.79336305673074,0.03301572491103903,-0.005026846387613968
102.49203444596498,0.03329211674604714,-0.0019992053638473372
102.75209608449177,0.034600389818517374,-0.001259019390127987
102.57614626731844,0.03519948834478659,0.0003110444355421049
102.35279239696521,0.03649152419839974,0.0023909345408154883
101.77791539706061,0.03368157368533075,-0.0014914396549991849
102.50670331527301,0.035410373599419905,0.0014124723945461099
102.18986972446685,0.04106133223682489,0.0048708599318438755
101.61376883912567,0.038807833242270634,0.001674954143639499
101.55004568869255,0.038880174199997,0.00252849377875355
101.13080079238773,0.038187388477835746,0.00021970648077262924
101.01151813813995,0.03691036287029411,0.0010531052190852514
101.68822457278581,0.03968343389095807,0.007394606710260073
101.45239588673518,0.04364629833157505,0.01265118566512142
101.4247956629327,0.04160677942923853,0.009737307959596172
101.22664838544856,0.04575313900547718,0.014883380330027954
101.12009468502137,0.04861461800515895,0.02001348048074262
101.58129135426852,0.04918535894263728,0.021297018563191245
101.88231622508326,0.05030046552986892,0.02174482140840033
101.68587380037886,0.052253753411668186,0.025191279242847062
101.1462611593355,0.05092439397316388,0.025346591466261507
101.06918425000464,0.056215524409215914,0.03206727577501927
101.55915790535907,0.0522008901125641,0.02504683010929539
101.54856487998833,0.04995905528053065,0.01963953774022622
101.47512367149663,0.04700060584494738,0.015145213180224975
100.46242045173197,0.04221484409968432,0.00876217758848304
100.99263683055644,0.04280301461834233,0.010027596957568219
100.1870562360254,0.04181078517214796,0.011160712066761013
99.5032451731949,0.039080144119949874,0.009338166890220748
99.30853551345828,0.03736006534190348,0.006031814657632518
